teacher_id,department,gender,assigned_sections,available_periods,qualified_courses,sped_teacher
T01,Math,F,2,"[5, 6, 2, 1, 8, 7, 3, 4]","['C002', 'C003', 'C005']",No
T02,English,M,1,"[6, 2, 5, 7, 1]",['C004'],Yes
T03,English,F,2,"[5, 6, 1, 7, 3]",['C004'],Yes
T04,English,M,2,"[3, 5, 2, 7, 6, 8, 1, 4]",['C004'],Yes
T05,English,M,3,"[6, 7, 1, 8, 4, 2]",['C004'],No
T06,Math,M,2,"[7, 4, 5, 8, 3, 2]","['C002', 'C003', 'C005']",Yes
T07,English,M,2,"[8, 4, 1, 5, 7, 3, 6, 2]",['C004'],Yes
T08,Science,M,3,"[5, 8, 2, 1, 4, 7]",[],No
T09,English,F,1,"[4, 7, 5, 2]",['C004'],No
T10,Math,M,3,"[5, 7, 2, 4, 8, 1, 3, 6]","['C002', 'C003', 'C005']",Yes
T11,English,M,1,"[7, 6, 2, 4, 1, 5]",['C004'],No
T12,PE/Health,F,3,"[5, 2, 7, 4]",['C001'],Yes
T13,Math,M,2,"[2, 8, 1, 3, 7]","['C002', 'C003', 'C005']",No
T14,PE/Health,F,3,"[4, 7, 6, 8, 2, 1]",['C001'],Yes
T15,PE/Health,F,2,"[8, 5, 6, 4, 7, 3, 1]",['C001'],No
T16,Math,M,2,"[1, 6, 8, 4]","['C002', 'C003', 'C005']",No
T17,PE/Health,F,1,"[2, 6, 3, 5, 8, 1]",['C001'],No
T18,PE/Health,F,3,"[2, 7, 3, 1, 8, 5, 6, 4]",['C001'],No
T19,PE/Health,M,3,"[3, 7, 8, 5, 2]",['C001'],Yes
T20,Science,F,3,"[7, 3, 5, 1, 6, 2, 4]",[],No
