Student ID,Preferred Sections
ST001,English 9;Math 1;Biology;World History;PE;Medical Career
ST002,English 9;Math 1;Biology;World History;PE;Medical Career
ST003,English 9;Math 1;Biology;World History;PE;Heroes Teach
ST004,English 9;Math 1;Biology;World History;PE;Medical Career
ST005,English 9;Math 1;Biology;World History;PE;Heroes Teach
ST006,English 9;Math 1;Biology;World History;PE;Medical Career
ST007,English 9;Math 1;Biology;World History;PE;Medical Career
ST008,English 9;Math 1;Biology;World History;PE;Heroes Teach
ST009,English 9;Math 1;Biology;World History;PE;Heroes Teach
ST010,English 9;Math 1;Biology;World History;PE;Heroes Teach
ST011,English 10;Math 2;Chemistry;US History;PE;Heroes Teach
ST012,English 10;Math 2;Chemistry;US History;PE;Heroes Teach
ST013,English 10;Math 2;Chemistry;US History;PE;Medical Career
ST014,English 10;Math 2;Chemistry;US History;PE;Medical Career
ST015,English 10;Math 2;Chemistry;US History;PE;Heroes Teach
ST016,English 10;Math 2;Chemistry;US History;PE;Heroes Teach
ST017,English 10;Math 2;Chemistry;US History;PE;Heroes Teach
ST018,English 10;Math 2;Chemistry;US History;PE;Heroes Teach
ST019,English 10;Math 2;Chemistry;US History;PE;Medical Career
ST020,English 10;Math 2;Chemistry;US History;PE;Heroes Teach
ST021,English 11;Math 3;Physics;Government;Sports Med;Heroes Teach
ST022,English 11;Math 3;Physics;Government;Sports Med;Heroes Teach
ST023,English 11;Math 3;Physics;Government;Sports Med;Heroes Teach
ST024,English 11;Math 3;Physics;Government;Sports Med;Heroes Teach
ST025,English 11;Math 3;Physics;Government;Sports Med;Heroes Teach
ST026,English 11;Math 3;Physics;Government;Sports Med;Heroes Teach
ST027,English 11;Math 3;Physics;Government;Sports Med;Heroes Teach
ST028,English 11;Math 3;Physics;Government;Sports Med;Medical Career
ST029,English 11;Math 3;Physics;Government;Sports Med;Medical Career
ST030,English 11;Math 3;Physics;Government;Sports Med;Medical Career
ST031,English 12;Math 4;AP Biology;Economics;Sports Med;Heroes Teach
ST032,English 12;Math 4;AP Biology;Economics;Sports Med;Medical Career
ST033,English 12;Math 4;AP Biology;Economics;Sports Med;Heroes Teach
ST034,English 12;Math 4;AP Biology;Economics;Sports Med;Medical Career
ST035,English 12;Math 4;AP Biology;Economics;Sports Med;Heroes Teach
ST036,English 12;Math 4;AP Biology;Economics;Sports Med;Heroes Teach
ST037,English 12;Math 4;AP Biology;Economics;Sports Med;Heroes Teach
ST038,English 12;Math 4;AP Biology;Economics;Sports Med;Medical Career
ST039,English 12;Math 4;AP Biology;Economics;Sports Med;Heroes Teach
ST040,English 12;Math 4;AP Biology;Economics;Sports Med;Medical Career
