Student ID,Section ID
ST001,S001
ST001,S007
ST001,S004
ST001,S011
ST001,S014
ST001,S009
ST002,S001
ST002,S004
ST002,S022
ST002,S011
ST002,S017
ST002,S008
ST002,S032
ST002,S010
ST003,S001
ST003,S007
ST003,S004
ST003,S011
ST003,S014
ST003,S009
ST004,S015
ST004,S001
ST004,S004
ST004,S008
ST004,S012
ST004,S009
ST005,S027
ST005,S001
ST005,S007
ST005,S004
ST005,S012
ST005,S010
ST005,S013
ST006,S004
ST006,S023
ST006,S017
ST006,S025
ST006,S018
ST006,S020
ST006,S013
ST007,S015
ST007,S022
ST007,S024
ST007,S016
ST007,S018
ST007,S020
ST008,S001
ST008,S004
ST008,S023
ST008,S024
ST008,S016
ST008,S018
ST008,S020
ST008,S013
ST009,S021
ST009,S019
ST009,S023
ST009,S017
ST009,S032
ST009,S025
ST010,S021
ST010,S001
ST010,S023
ST010,S008
ST010,S024
ST010,S016
ST010,S018
ST010,S013
ST011,S029
ST011,S007
ST011,S030
ST011,S032
ST011,S025
ST011,S026
ST011,S016
ST011,S013
ST012,S029
ST012,S015
ST012,S027
ST012,S030
ST012,S024
ST012,S014
ST013,S028
ST013,S022
ST013,S030
ST013,S032
ST013,S024
ST013,S026
ST013,S013
ST014,S029
ST014,S007
ST014,S030
ST014,S032
ST014,S025
ST014,S026
ST014,S013
ST015,S029
ST015,S015
ST015,S027
ST015,S030
ST015,S025
ST015,S014
ST016,S001
ST016,S007
ST016,S004
ST016,S011
ST016,S010
ST016,S014
ST017,S019
ST017,S022
ST017,S030
ST017,S017
ST017,S032
ST017,S025
ST017,S020
ST018,S029
ST018,S027
ST018,S030
ST018,S032
ST018,S024
ST018,S013
ST019,S001
ST019,S004
ST019,S011
ST019,S008
ST019,S032
ST019,S010
ST020,S021
ST020,S019
ST020,S022
ST020,S017
ST020,S024
ST020,S014
ST021,S015
ST021,S001
ST021,S004
ST021,S022
ST021,S008
ST021,S012
ST021,S010
ST022,S015
ST022,S001
ST022,S007
ST022,S004
ST022,S012
ST022,S010
ST022,S014
ST023,S021
ST023,S015
ST023,S019
ST023,S023
ST023,S008
ST023,S025
ST023,S016
ST024,S015
ST024,S028
ST024,S007
ST024,S030
ST024,S025
ST024,S026
ST024,S014
ST025,S027
ST025,S001
ST025,S007
ST025,S004
ST025,S012
ST025,S014
ST025,S009
ST026,S021
ST026,S015
ST026,S019
ST026,S023
ST026,S017
ST026,S008
ST026,S025
ST027,S029
ST027,S030
ST027,S032
ST027,S024
ST027,S026
ST027,S013
ST028,S028
ST028,S001
ST028,S004
ST028,S023
ST028,S011
ST028,S008
ST028,S014
ST028,S009
ST029,S001
ST029,S004
ST029,S008
ST029,S012
ST029,S032
ST029,S009
ST030,S022
ST030,S030
ST030,S024
ST030,S016
ST030,S018
ST030,S020
ST030,S013
