Teacher ID,Section ID,Period
T011,S001,R2
T012,S002,G2
T009,S003,G2
T010,S004,G3
T009,S005,G1
T010,S006,G4
T011,S007,R1
T012,S008,G1
T001,S009,R4
T002,S010,R1
T003,S011,R2
T004,S012,R1
T007,S013,R3
T008,S014,R4
T003,S015,G4
T004,S016,R2
T003,S017,G1
T004,S018,R4
T005,S019,G1
T006,S020,G2
T001,S021,G3
T002,S022,R4
T001,S023,R3
T002,S024,G3
T005,S025,R3
T006,S026,R1
T001,S027,R2
T002,S028,R3
T007,S029,G3
T008,S030,G4
T005,S031,R1
T006,S032,G1
T007,S033,G4
T008,S034,G2
T003,S035,R1
T004,S036,G4
T005,S037,G3
T006,S038,R3
T007,S039,R4
T008,S040,R2
